#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
1396.6255,800,1026.887895
2995.373411,800,1031.385755
835.241514,800,1032.042772
1784.038345,800,1032.714381
3305.91244,800,1037.493307
830.531557,800,1038.164127
2790.465077,800,1042.760654
4874.607196,800,1043.42558
4400.692789,800,1044.102015
4359.343511,800,1048.65382
1013.877013,800,1049.324479
1755.125601,800,1053.907549
4995.958976,800,1054.583888
3831.427959,800,1055.273305
5919.209374,800,1060.017578
5390.741265,800,1060.685398
2716.628208,800,1065.455155
4945.253017,800,1066.101428
466.097257,800,1066.88456
5260.567991,800,1071.49357
4869.769038,800,1072.316579
5160.313768,800,1076.314895
3000.809906,800,1077.044887
5366.97624,800,1077.676338
5236.367464,800,1082.143857
2504.647237,800,1082.798523
5234.078525,800,1083.442719
3202.262566,800,1087.896852
3005.212036,800,1088.572586
4262.935187,800,1093.157043
3867.04255,800,1093.800931
4454.212032,800,1094.458212
-3113.705282,800,1099.019817
3321.756836,800,1099.687839
4534.70969,800,1104.374909
6054.410327,800,1105.043201
4223.966591,800,1105.686604
5993.36642,800,1110.331327
3154.501828,800,1110.99719
563.112934,800,1115.644526
5266.263514,800,1116.275032
4955.747484,800,1116.929563
5994.961052,800,1121.553279
3896.27068,800,1122.215439
375.210339,800,1122.884044
-2291.24796,800,1127.425743
3995.370448,800,1128.07575
6105.786669,800,1132.620876
303.259082,800,1133.256552
4205.465625,800,1133.895401
2752.910006,800,1138.425252
2987.921899,800,1139.074853
2568.511683,800,1143.591025
4396.771193,800,1144.252553
3839.690886,800,1144.926573
5259.061058,800,1149.574584
5344.356903,800,1150.210927
6182.589679,800,1154.691855
2340.435168,800,1155.375695
5408.350696,800,1156.026335
4397.362909,800,1160.491547
5311.279286,800,1161.170437
5099.025928,800,1165.613372
4837.559269,800,1166.252721
4337.068167,800,1166.883408
6213.184257,800,1171.407862
4539.427916,800,1172.068995
4476.459064,800,1172.725519
3880.336808,800,1177.399411
3944.210604,800,1178.004815
-4580.441514,800,1182.510602
5716.6329,800,1183.137067
5472.033796,800,1183.811423
3487.36728,800,1188.269024
6043.338843,800,1188.922229
775.401865,800,1193.200589
4791.95883,800,1193.899888
5195.812456,800,1194.54512
5871.652282,800,1199.08048
2500.13546,800,1199.731145
4951.274388,800,1204.183342
4572.544314,800,1204.846657
5536.909808,800,1205.505852
5600.386409,800,1210.090209
5148.365779,800,1210.739488
6191.801832,800,1215.27053
6273.837581,800,1215.976474
5074.399557,800,1216.613654
5237.961483,800,1221.219693
6204.978603,800,1221.854156
5986.102551,800,1222.490541
5021.715761,800,1227.111558
3941.319781,800,1227.744823
2667.679417,800,1232.420344
5402.246737,800,1233.09071
3283.467741,800,1233.759479
3735.910501,800,1238.328187
5242.486638,800,1238.946876
3660.007344,800,1243.496327
5272.072554,800,1244.119908
5962.214918,800,1244.752784
6208.735723,800,1249.290378
3072.450977,800,1249.932241
5660.369157,800,1254.452723
6224.663189,800,1255.084971
5301.894926,800,1255.709994
6122.258855,800,1260.245497
6077.262648,800,1260.884496
5341.908666,800,1261.501951
6163.939284,800,1266.05429
2200.553795,800,1266.690419
6187.797528,800,1271.075305
6076.678197,800,1271.701655
5711.024735,800,1272.36627
5526.942024,800,1276.887897
541.231767,800,1277.533741
5953.478451,800,1282.051227
5459.688116,800,1282.708946
4878.995113,800,1283.367945
4996.945879,800,1287.905593
6182.259299,800,1288.54881
6294.224587,800,1293.163872
2537.955875,800,1293.811144
5934.211954,800,1294.443841
6260.127963,800,1299.043393
6171.471336,800,1299.6848
5413.399155,800,1304.206422
4454.985844,800,1304.851954
6105.154417,800,1305.483026
